symbol,n_days,corr,abs_corr,price_corr,hv_corr,lv_corr,roll_mean,roll_std,roll_recent,predictive,pred_pval,pred_beta,hv_delta
MET,1022,0.0820528190969897,0.0820528190969897,-0.40378015051088156,0.08355292817629716,0.08614332079732968,0.06598277491209394,0.051110038022417155,0.18214903715778133,False,0.060352467474177045,0.02587007890763869,-0.002590392621032528
M6B,4034,0.0745952721830898,0.0745952721830898,0.02541657176786058,0.07724993356434785,0.08327014888287369,0.08396165449678003,0.09954942366659081,0.0331080227981359,False,0.8641543873145499,0.007989991584541879,-0.00602021531852584
6E,4132,0.07338051016762955,0.07338051016762955,0.1078841918755883,0.06013443046054714,0.09858016670256199,0.08601304647422882,0.09447348017404586,-0.0705269182610875,False,0.3158929401132564,-0.04592952832864535,-0.038445736242014854
6B,4132,0.07337428689216965,0.07337428689216965,0.020455307580805847,0.07135460958452985,0.08646244244215637,0.08583231865191988,0.10418625743780138,0.0051903606952119615,False,0.7326217679784793,0.015685134612232535,-0.015107832857626513
MBT,1175,0.07020049920408464,0.07020049920408464,-0.5711857115741383,0.07250000254277968,0.06990178091798355,0.05883504477215216,0.05655258598311714,0.1907949438912006,False,0.3358981243971403,0.015496356219787545,0.0025982216247961293
ZR,4093,0.06863273923598188,0.06863273923598188,-0.0509363930250166,0.07063862536160223,0.08619691218441518,0.10385009161096824,0.11771718837561591,-0.04037063935304685,False,0.8768253829476796,-0.0017759314420237324,-0.015558286822812947
ZN,4137,-0.06820503061462059,0.06820503061462059,-0.2554866915465966,-0.023222214384306186,-0.12421973981500307,-0.08957934525228257,0.10683699744767833,-0.21333977191666484,False,0.5333627223812533,-0.05216015265110522,0.10099752543069689
M6E,4045,0.0657995989784361,0.0657995989784361,0.12050842400232023,0.05044832429534888,0.09183389647915337,0.07982345789670925,0.0891142033592906,-0.0661531956250892,False,0.36020700597029875,-0.04262692054954577,-0.04138557218380449
10Y,1106,0.06515789359920106,0.06515789359920106,-0.5039734765503591,0.04280704731705215,0.1309751459764276,0.07884453683176572,0.06629683364884446,0.12629833246469727,False,0.11661782364393579,0.046589755193712404,-0.08816809865937544
QG,4031,0.059500362390008596,0.059500362390008596,0.5637558664906854,0.05640875139696308,0.07096472058297677,0.06334234070137376,0.07645345236590746,0.10853334016671137,False,0.6727493634024804,-0.003647416962188852,-0.014555969186013692
30Y,729,0.05939807161572272,0.05939807161572272,-0.43497859785747167,0.05737710253656287,0.06843894030813341,0.04667141088222097,0.032673645444495095,0.00897839469072213,True,0.030551093203554282,0.08540221919177346,-0.011061837771570542
ZF,4135,-0.05869646279177679,0.05869646279177679,-0.1913459872202872,-0.024123747922215315,-0.1037602096012354,-0.08050160013112942,0.09700806809130326,-0.22768250617174685,False,0.5949476815055194,-0.06773020818085956,0.07963646167902008
DXY,2563,-0.056949773869108336,0.056949773869108336,0.3792796307882148,-0.06978076169397358,-0.04747423544875055,-0.07403980263294696,0.0691944125101989,0.015146597638781487,False,0.5990157559251628,-0.04930968986011064,-0.022306526245223036
NG,4145,0.055610192042258984,0.055610192042258984,0.5495089042100765,0.06352936074555714,0.05463896876513501,0.05804974476255299,0.07175281504898037,0.0948459378456651,False,0.9363721152719908,-0.0006765117314852627,0.00889039198042213
RS,3521,0.05133323519638528,0.05133323519638528,0.8365266582121349,0.04672132182186352,0.059603145561278506,0.47227470540938643,0.17797756755082553,0.05372160056270522,False,0.9044784630531855,-0.00019333300577459105,-0.012881823739414988
TN,2789,-0.04912890862851975,0.04912890862851975,-0.3856301475519667,-0.011970314248585625,-0.10841086710481761,-0.05279973295621976,0.09390623317705853,-0.18500976708614217,False,0.5693871611521044,-0.03935652508868027,0.09644055285623199
BDRY,1953,0.046609593646312,0.046609593646312,0.1286964225912062,0.046321866777328115,0.05540524769462956,0.064127882967163,0.09804824875735654,0.15112196252073484,False,0.48334377479875257,-0.008059074615603177,-0.009083380917301445
ZT,4132,-0.043513076762216316,0.043513076762216316,-0.21896292538356507,-0.024878682605517937,-0.0702811159881516,-0.05595552344646784,0.08498176903936572,-0.23438882089090227,False,0.18346127695649375,-0.421356429484405,0.04540243338263365
MCL,1132,0.04055049533549189,0.04055049533549189,0.6809117927816891,0.04562472839654561,0.2855089833997127,0.3292140077068597,0.07791893292083743,0.3310854076492431,False,0.42979538281909635,1.2484654475768986e-05,-0.2398842550031671
GVZ,2589,-0.03700763527154842,0.03700763527154842,0.1543866964704918,0.027074730783123675,-0.11479278235954499,-0.04857778476814212,0.11803770825084127,-0.03667397019687239,False,0.8213013445105912,0.0016714880895596224,0.14186751314266866
LBR,908,0.03684830339917614,0.03684830339917614,0.36878177985810917,0.038407738553374864,0.0335370596996529,0.05448610120124326,0.031571525293311475,0.11161757371615073,False,0.52533424786772,0.00600638762848617,0.0048706788537219645
GF,3990,0.033486758685290614,0.033486758685290614,0.18661334888618983,0.027478660445347095,0.04130755339846203,0.033142974870347106,0.10314972486548124,0.1929156129849251,False,0.712174692387674,-0.00818215169662929,-0.013828892953114937
6Z,3548,0.031777452540522264,0.031777452540522264,0.02302152935040845,0.007231386745587996,0.06355514392577502,0.045703715235245676,0.05527822413294127,-0.010987263071693409,False,0.5623807699424885,-0.005259384895901822,-0.05632375718018703
2YY,999,0.030125545947869203,0.030125545947869203,-0.3506380145825375,0.009030808182599489,0.08565420520620358,0.052434345439739426,0.07553016104757854,0.16832296189640836,False,0.28339118559372795,0.02347212650624732,-0.07662339702360409
HE,3995,0.027649263001104995,0.027649263001104995,0.569834849331076,0.027170764785896705,0.032626726571137105,0.031997031185358286,0.09353591928746399,0.08194078233471733,False,0.2961195008739239,-0.009985632934049212,-0.005455961785240399
6M,4107,0.027508824660096434,0.027508824660096434,0.1735681764372992,0.030528589481916453,0.03634121294809858,0.04210026727359938,0.05638834871665329,0.020474974217245416,False,0.7945790852051102,-0.002645330023688774,-0.0058126234661821236
SR3,1853,-0.025704844695026707,0.025704844695026707,-0.2792709709167946,-0.016830281784028504,-0.05113921389147288,-0.014842143747634703,0.06518882261854257,-0.1743223482855331,False,0.6805291021932658,0.06515056731339877,0.03430893210744437
5YY,420,0.024773906427445667,0.024773906427445667,0.120757809794998,0.03742784444270967,-0.005785937848972656,0.012401633185785722,0.026499680874638547,0.05091976139390711,False,0.2363488082609017,0.037384190154536964,0.04321378229168232
DC,3981,0.015568320981490174,0.015568320981490174,0.43095997176710166,0.03254391663208967,0.007137900031875913,0.03066478268946712,0.06144466034485847,-0.06582622939105913,False,0.06994599708038633,-0.01839521795293808,0.025406016600213757
6J,4131,0.01018876605883973,0.01018876605883973,-0.05078769783046808,,0.017894904797773576,,,,False,0.3077950362434247,0.05027727568893116,
DY,3008,0.009175856617788624,0.009175856617788624,0.46271709710885806,-0.009502425942591696,0.022255951385994812,0.009560224982239613,0.05601546030308037,-0.03285780569303305,False,0.7103033601384318,0.001624050773465624,-0.03175837732858651
ZQ,3971,0.00633276676904809,0.00633276676904809,-0.18966041091224153,0.022803199610298534,0.0016138542594976613,0.0050633622027308894,0.05574083839582267,0.0014145129291102717,False,0.6123698407210049,0.06123753142293273,0.021189345350800873
6S,4127,0.004797280992328781,0.004797280992328781,0.39981714061609697,0.005641236769848051,0.005387447893249121,-0.002281741089243141,0.07897079068586028,-0.10234701081538523,False,0.21415119193985135,0.04796030464347359,0.0002537888765989302
6R,2835,0.003827513496662343,0.003827513496662343,0.047582784519679955,-0.00012731863820880494,0.07190279370995317,0.04602940914036029,0.06663896059525501,0.00118824003291425,False,0.4857677834783988,0.0001538268474112194,-0.07203011234816198
SR1,1904,-0.0027467676404712925,0.0027467676404712925,-0.13991288876327626,0.0019325052694353047,-0.013904800129597347,0.011522838715512178,0.04910594934046529,-0.016883697286811508,False,0.6432539588159638,0.15535898144503685,0.01583730539903265
GE,3404,0.0016952267903641448,0.0016952267903641448,-0.17253179886098088,0.0408722313667458,-0.03255634293676037,-0.01719530307020718,0.07277468519647082,0.09878662146408104,False,0.5704624338030725,-0.06562534527028946,0.07342857430350617
